period_year_label,rate_cap_value,source_reference,source_type,effective_date_or_applicable_year,notes
2026-27,2.75,ESC annual council rate caps page (https://www.esc.vic.gov.au/local-government/annual-council-rate-caps),public web page,2026-27,Standard statewide annual cap value
2025-26,3.00,ESC annual council rate caps page (https://www.esc.vic.gov.au/local-government/annual-council-rate-caps),public web page,2025-26,Standard statewide annual cap value
2024-25,2.75,ESC annual council rate caps page (https://www.esc.vic.gov.au/local-government/annual-council-rate-caps),public web page,2024-25,Standard statewide annual cap value
2023-24,3.50,ESC annual council rate caps page (https://www.esc.vic.gov.au/local-government/annual-council-rate-caps),public web page,2023-24,Standard statewide annual cap value
2022-23,1.75,ESC annual council rate caps page (https://www.esc.vic.gov.au/local-government/annual-council-rate-caps),public web page,2022-23,Standard statewide annual cap value
2021-22,1.50,ESC annual council rate caps page (https://www.esc.vic.gov.au/local-government/annual-council-rate-caps),public web page,2021-22,Standard statewide annual cap value
2020-21,2.00,ESC annual council rate caps page (https://www.esc.vic.gov.au/local-government/annual-council-rate-caps),public web page,2020-21,Standard statewide annual cap value
2019-20,2.50,ESC annual council rate caps page (https://www.esc.vic.gov.au/local-government/annual-council-rate-caps),public web page,2019-20,Standard statewide annual cap value
2018-19,2.25,ESC annual council rate caps page (https://www.esc.vic.gov.au/local-government/annual-council-rate-caps),public web page,2018-19,Standard statewide annual cap value
2017-18,2.00,ESC annual council rate caps page (https://www.esc.vic.gov.au/local-government/annual-council-rate-caps),public web page,2017-18,Standard statewide annual cap value
2016-17,2.50,ESC annual council rate caps page (https://www.esc.vic.gov.au/local-government/annual-council-rate-caps),public web page,2016-17,Standard statewide annual cap value
