period,index_value,percentage_change,change_basis,reference_type,published_date,source_url
2024-Q2,138.8,3.8,annual_change_from_corresponding_quarter_previous_year,All Groups CPI - Australia,2024-07-31,https://www.abs.gov.au/statistics/economy/price-indexes-and-inflation/consumer-price-index-australia/jun-quarter-2024
2024-Q2,138.4,3.7,annual_change_from_corresponding_quarter_previous_year,Melbourne CPI,2024-07-31,https://www.abs.gov.au/statistics/economy/price-indexes-and-inflation/consumer-price-index-australia/jun-quarter-2024
2024-Q3,139.1,2.8,annual_change_from_corresponding_quarter_previous_year,All Groups CPI - Australia,2024-10-30,https://www.abs.gov.au/statistics/economy/price-indexes-and-inflation/consumer-price-index-australia/sep-quarter-2024
2024-Q3,139.3,3.0,annual_change_from_corresponding_quarter_previous_year,Melbourne CPI,2024-10-30,https://www.abs.gov.au/statistics/economy/price-indexes-and-inflation/consumer-price-index-australia/sep-quarter-2024
2024-Q4,139.4,2.4,annual_change_from_corresponding_quarter_previous_year,All Groups CPI - Australia,2025-01-29,https://www.abs.gov.au/statistics/economy/price-indexes-and-inflation/consumer-price-index-australia/dec-quarter-2024
2024-Q4,139.5,2.5,annual_change_from_corresponding_quarter_previous_year,Melbourne CPI,2025-01-29,https://www.abs.gov.au/statistics/economy/price-indexes-and-inflation/consumer-price-index-australia/dec-quarter-2024
2025-Q1,140.7,2.4,annual_change_from_corresponding_quarter_previous_year,All Groups CPI - Australia,2025-04-30,https://www.abs.gov.au/statistics/economy/price-indexes-and-inflation/consumer-price-index-australia/mar-quarter-2025
2025-Q1,140.7,2.3,annual_change_from_corresponding_quarter_previous_year,Melbourne CPI,2025-04-30,https://www.abs.gov.au/statistics/economy/price-indexes-and-inflation/consumer-price-index-australia/mar-quarter-2025
2025-Q2,141.7,2.1,annual_change_from_corresponding_quarter_previous_year,All Groups CPI - Australia,2025-07-30,https://www.abs.gov.au/statistics/economy/price-indexes-and-inflation/consumer-price-index-australia/jun-quarter-2025
2025-Q2,141.2,2.0,annual_change_from_corresponding_quarter_previous_year,Melbourne CPI,2025-07-30,https://www.abs.gov.au/statistics/economy/price-indexes-and-inflation/consumer-price-index-australia/jun-quarter-2025
2025-Q3,143.6,3.2,annual_change_from_corresponding_quarter_previous_year,All Groups CPI - Australia,2025-10-29,https://www.abs.gov.au/statistics/economy/price-indexes-and-inflation/consumer-price-index-australia/sep-quarter-2025
2025-Q3,142.9,2.6,annual_change_from_corresponding_quarter_previous_year,Melbourne CPI,2025-10-29,https://www.abs.gov.au/statistics/economy/price-indexes-and-inflation/consumer-price-index-australia/sep-quarter-2025
2023,134.4,5.58,annual_average_change_from_previous_calendar_year,All Groups CPI - Australia,2024-01-31,https://www.abs.gov.au/statistics/economy/price-indexes-and-inflation/consumer-price-index-australia/sep-quarter-2025/640101.xlsx
2023,134.4,5.25,annual_average_change_from_previous_calendar_year,Melbourne CPI,2024-01-31,https://www.abs.gov.au/statistics/economy/price-indexes-and-inflation/consumer-price-index-australia/sep-quarter-2025/640101.xlsx
2024,138.7,3.20,annual_average_change_from_previous_calendar_year,All Groups CPI - Australia,2025-01-29,https://www.abs.gov.au/statistics/economy/price-indexes-and-inflation/consumer-price-index-australia/sep-quarter-2025/640101.xlsx
2024,138.7,3.20,annual_average_change_from_previous_calendar_year,Melbourne CPI,2025-01-29,https://www.abs.gov.au/statistics/economy/price-indexes-and-inflation/consumer-price-index-australia/sep-quarter-2025/640101.xlsx
2023-24,136.9,4.19,average_change_from_previous_financial_year,All Groups CPI - Australia,2024-07-31,https://www.abs.gov.au/statistics/economy/price-indexes-and-inflation/consumer-price-index-australia/sep-quarter-2025/640101.xlsx
2023-24,136.8,3.95,average_change_from_previous_financial_year,Melbourne CPI,2024-07-31,https://www.abs.gov.au/statistics/economy/price-indexes-and-inflation/consumer-price-index-australia/sep-quarter-2025/640101.xlsx
2024-25,140.2,2.41,average_change_from_previous_financial_year,All Groups CPI - Australia,2025-07-30,https://www.abs.gov.au/statistics/economy/price-indexes-and-inflation/consumer-price-index-australia/sep-quarter-2025/640101.xlsx
2024-25,140.2,2.49,average_change_from_previous_financial_year,Melbourne CPI,2025-07-30,https://www.abs.gov.au/statistics/economy/price-indexes-and-inflation/consumer-price-index-australia/sep-quarter-2025/640101.xlsx
